bid_datetime_beginning_utc,bid_datetime_beginning_ept,unit_code,bid_slope_flag,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,no_load_cost,cold_start_cost,inter_start_cost,hot_start_cost,max_daily_starts,min_runtime,max_ecomax,min_ecomax,avg_ecomax,max_ecomin,min_ecomin,avg_ecomin
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgYLDAEBDwcaOTY0NDIxMDU,True,,116.00,174.00,,,,,,,,,44.35,45.20,,,,,,,,1845.99,137.58,137.58,137.58,4,2.00,174.00,174.00,174.00,174.00,174.00,174.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEADAILBwIMMC45NjQ1MjEwMg,False,55.00,,,,,,,,,,230.92,,,,,,,,,,0.00,239.51,239.51,239.51,2,3.00,55.00,55.00,55.00,55.00,55.00,55.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEADAILBwIDOS45NjQ1MjEwMw,False,55.00,,,,,,,,,,230.92,,,,,,,,,,0.00,239.51,239.51,239.51,2,3.00,55.00,55.00,55.00,55.00,55.00,55.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEADAILBwIDOC45NjQ1MjEwNg,False,55.00,,,,,,,,,,230.92,,,,,,,,,,0.00,239.51,239.51,239.51,2,3.00,55.00,55.00,55.00,55.00,55.00,55.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQIBAAUPAgEaOTY0NjIxMDE,True,1.00,8.00,14.00,19.00,,,,,,,380.83,380.83,380.83,380.83,,,,,,,0.00,922.15,922.15,922.15,2,2.00,14.00,14.00,14.00,8.00,8.00,8.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQIBAAUPAg8aOTY0NjIxMDI,True,1.00,8.00,14.00,19.00,,,,,,,381.44,381.44,381.44,381.44,,,,,,,0.00,888.15,888.15,888.15,2,2.00,14.00,14.00,14.00,8.00,8.00,8.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQIBAAUPAwcaOTY0NjIxMDM,True,1.00,8.00,14.00,19.00,,,,,,,380.49,380.49,380.49,380.49,,,,,,,0.00,941.15,941.15,941.15,2,2.00,14.00,14.00,14.00,8.00,8.00,8.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQIBAAUPAwUaOTY0NjIxMDQ,True,1.00,7.00,14.00,19.00,,,,,,,381.87,381.87,381.87,381.87,,,,,,,0.00,864.15,864.15,864.15,2,2.00,14.00,14.00,14.00,7.00,7.00,7.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBgcaOTY0NzIxMDE,False,10.70,11.60,14.00,,,,,,,,2.80,158.00,186.00,,,,,,,,0.00,689.07,433.19,330.84,2,2.00,11.60,11.60,11.60,10.70,10.70,10.70
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBg8aOTY0ODIxMDE,False,1.40,1.80,3.00,,,,,,,,200.00,212.00,246.00,,,,,,,,0.00,77.49,67.32,54.12,2,2.00,1.80,1.80,1.80,1.40,1.40,1.40
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBwcaOTY0ODIxMDM,False,2.70,4.90,7.00,,,,,,,,165.90,175.00,205.00,,,,,,,,0.00,233.08,168.09,142.09,2,2.00,4.90,4.90,4.90,2.70,2.70,2.70
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BQMDBQ4KAQMaOTY1MDMxMDE,False,18.00,,,,,,,,,,193.61,,,,,,,,,,0.00,3.79,3.79,3.79,4,2.00,18.00,18.00,18.00,18.00,18.00,18.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BAUKAgEOAAMaOTY1MTMxMDE,False,6.30,9.20,10.80,,,,,,,,1.00,149.00,176.00,,,,,,,,0.00,482.23,328.82,267.46,2,1.00,9.20,9.20,9.20,6.30,6.30,6.30
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BwMHDAQLBwMaOTY1MjMxMDE,False,7.40,9.70,11.70,,,,,,,,1.00,145.00,171.00,,,,,,,,0.00,533.71,353.62,281.59,2,2.00,9.70,9.70,9.70,7.40,7.40,7.40
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BgYDBA4PAgcaOTY1MjMxMDM,False,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,12,1.00,6.00,6.00,6.00,6.00,6.00,6.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBwEaOTY1MzIxMDE,False,2.70,5.10,7.00,,,,,,,,169.70,179.00,210.00,,,,,,,,0.00,240.17,175.08,149.04,2,2.00,5.10,5.10,5.10,2.70,2.70,2.70
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBwMaOTY1MzIxMDI,False,1.40,2.90,4.00,,,,,,,,180.10,194.00,210.00,,,,,,,,0.00,155.17,105.10,85.08,2,2.00,2.90,2.90,2.90,1.40,1.40,1.40
